Model,Accuracy,CV Accuracy,CV Std,Precision,Recall,F1-Score,Train Time (s),Inference Time (s),Saved_at,Training dataset name,ROC-AUC,Num samples in dataset,Note,Ablation Group,Ablation Name,Ablation Mode,Parent Feature Dataset
Char-LSTM,0.963991728,0.94826091,0.008191913,0.962382688,0.968542659,0.965452848,103.53,0.49,2025-11-20_21-01-49,new_data_urls,,,,,,,
Char-BiLSTM,0.961680386,0.956204901,0.002398367,0.956806283,0.970025759,0.963370673,105.622,0.476,2025-11-20_21-01-49,new_data_urls,,,,,,,
CharRNN,0.959693443,,,0.952654562,0.970650222,0.961568203,47.087,0.455,2025-11-20_21-01-49,new_data_urls,,,,,,,
CharCNN,0.957990349,,,0.961438984,0.957536492,0.95948377,48.331,0.528,2025-11-20_21-01-49,new_data_urls,,,,,,,
CatBoost Classifier,0.939094116,0.93651373,0.001676531,0.926465043,0.958863477,0.942385884,6.321,0.018,2025-11-20_21-01-49,new_data_urls,,,,,,,
Random Forest,0.937512672,0.934827946,0.002054132,0.92715282,0.954726407,0.940737607,0.934,0.075,2025-11-20_21-01-49,new_data_urls,,,,,,,
Multi-layer Perceptron,0.934998581,0.926781369,0.004371347,0.922178695,0.955506986,0.938547058,197.425,0.04,2025-11-20_21-01-49,new_data_urls,,,,,,,
LightGBM,0.934795831,0.930691693,0.003070568,0.920059993,0.957692608,0.938499197,0.326,0.025,2025-11-20_21-01-49,new_data_urls,,,,,,,
XGBoost Classifier,0.925469365,0.923027459,0.002236051,0.906256942,0.95535087,0.930156559,0.25,0.017,2025-11-20_21-01-49,new_data_urls,,,,,,,
Gradient Boosting,0.911763513,0.90995829,0.001262119,0.885577551,0.953321364,0.918201639,7.807,0.044,2025-11-20_21-01-49,new_data_urls,,,,,,,
Decision Tree,0.902072098,0.902259298,0.001934799,0.875306859,0.946296152,0.909418251,0.263,0.006,2025-11-20_21-01-49,new_data_urls,,,,,,,
K Nearest Neighbors,0.9015044,0.898835593,0.002644497,0.878794513,0.940051518,0.908391477,0.01,1.364,2025-11-20_21-01-49,new_data_urls,,,,,,,
Logistic Regression,0.846316046,0.844508168,0.004081193,0.82620959,0.891733666,0.857722051,24.098,0.014,2025-11-20_21-01-49,new_data_urls,,,,,,,
Support Vector Machine,0.83662463,0.837678137,0.003262482,0.841658886,0.84435251,0.843003546,625.978,37.461,2025-11-20_21-01-49,new_data_urls,,,,,,,
Naive Bayes,0.795263777,0.794143205,0.003450551,0.772887076,0.858012645,0.813228277,0.079,0.008,2025-11-20_21-01-49,new_data_urls,,,,,,,
CharBERT,0.913020559,,,0.887403748,0.953555538,0.919291116,820.69,22.38,2025-11-26_00-14-05,new_data_urls,,,,,,,
CharBERT,0.901950448,,,0.941691458,0.864803684,0.901611328,858.705,23.099,2025-11-26_02-59-49,new_data_urls,,,,,,,
CharBERT_Optimized,0.932078991,,,0.935544431,0.933572711,0.934557531,2967.497,86.195,2025-11-26_01-32-08,new_data_urls,,,,,,,
CharBERT,0.913020559,,,0.887403748,0.953555538,0.919291116,820.69,22.38,2025-11-26_01-32-08,new_data_urls,,,,,,,
CharBERT,0.91261506,,,0.896605628,0.940207634,0.917889122,822.804,22.468,2025-11-26_01-49-48,new_data_urls,,,,,,,
CatBoost Classifier,0.939013017,0.936305179,0.001591883,0.926325315,0.958863477,0.942313593,7.934,0.019,2026-01-15_19-56-07,new_data_urls,,,,,,,
Random Forest,0.937512672,0.934827946,0.002054132,0.92715282,0.954726407,0.940737607,1.192,0.086,2026-01-15_19-56-07,new_data_urls,,,,,,,
Decision Tree,0.902072098,0.902259298,0.001934799,0.875306859,0.946296152,0.909418251,0.237,0.005,2026-01-15_19-56-07,new_data_urls,,,,,,,
Stacker model (LR meta model v1),0.98986098,,,0.985594238,0.997743056,0.991631438,,,2026-04-15_12-54-03,phishing_url_dataset_unique,0.995631038,9567.0,sklearn v 1.6.1,,,,
Stacker model v2,0.990023901,,,0.985677749,0.997928534,0.991765311,,,2026-04-15_23_50_07,phishing_url_dataset_unique,0.995526788,9623.0,sklearn v1.8.2,,,,
Stacker model (4-signal LR meta model v1),0.988672971,,,0.983497788,0.997928534,0.990660612,3.148,0.186,2026-04-16 19-03-33,data/results/stacker_training_features.csv,0.993282385,9623.0,sklearn v1.8.0; 4-signal stacker,,,,
Meta model (rich-signal Logistic Regression v1),0.98926221,0.990201767,0.000867132,0.986324786,0.995972382,0.991125107,0.033,0.003,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.994681922,9623.0,meta_model_rich_lr_v1; sklearn v1.8.0,,,,
Meta model (rich-signal Naive Bayes v1),0.703498441,0.702790573,0.005508438,0.67027027,0.998849252,0.802218115,0.009,0.003,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.989239154,9623.0,meta_model_rich_nb_v1; sklearn v1.8.0,,,,
Meta model (rich-signal Decision Tree v1),0.994111534,0.990795569,0.002917564,0.993123209,0.99712313,0.99511915,0.021,0.004,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.99187616,9623.0,meta_model_rich_dt_v1; sklearn v1.8.0,,,,
Meta model (rich-signal Random Forest v1),0.994457915,0.993616103,0.002681318,0.992562929,0.998273878,0.995410212,0.238,0.055,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.998842241,9623.0,meta_model_rich_rf_v1; sklearn v1.8.0,,,,
Meta model (rich-signal Gradient Boosting v1),0.995150675,0.993467735,0.00190199,0.993699885,0.998273878,0.99598163,0.727,0.006,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.998349743,9623.0,meta_model_rich_gb_v1; sklearn v1.8.0,,,,
